frame.number,frame.time,wlan_radio.signal_dbm,wlan_radio.11n.mcs_index,wlan_radio.data_rate
"312","Jul  2, 2020 22:25:05.718224000 AEST","-77","3","28.8889"
"313","Jul  2, 2020 22:25:06.649963000 AEST","-77","3","28.8889"
"314","Jul  2, 2020 22:25:07.150365000 AEST","-78","3","28.8889"
"315","Jul  2, 2020 22:25:07.653711000 AEST","-75","11","57.7778"
"316","Jul  2, 2020 22:25:08.661768000 AEST","-74","11","57.7778"
"317","Jul  2, 2020 22:25:08.662012000 AEST","-74","11","57.7778"
"318","Jul  2, 2020 22:25:08.662267000 AEST","-71","3","28.8889"
"319","Jul  2, 2020 22:25:09.613629000 AEST","-70","11","57.7778"
"320","Jul  2, 2020 22:25:10.622232000 AEST","-58","12","86.6667"
"321","Jul  2, 2020 22:25:11.376397000 AEST","-54","12","86.6667"
"322","Jul  2, 2020 22:25:11.486309000 AEST","-61","12","86.6667"
"323","Jul  2, 2020 22:25:11.620080000 AEST","-61","12","86.6667"
"324","Jul  2, 2020 22:25:12.057114000 AEST","-60","12","86.6667"
"325","Jul  2, 2020 22:25:12.622815000 AEST","-52","12","86.6667"
"326","Jul  2, 2020 22:25:12.891363000 AEST","-54","12","86.6667"
"327","Jul  2, 2020 22:25:13.004153000 AEST","-55","7","72.2222"
"328","Jul  2, 2020 22:25:13.628947000 AEST","-50","12","86.6667"
"329","Jul  2, 2020 22:25:13.629266000 AEST","-50","12","86.6667"
"330","Jul  2, 2020 22:25:14.628278000 AEST","-55","12","86.6667"
"331","Jul  2, 2020 22:25:14.630004000 AEST","-54","12","86.6667"
"332","Jul  2, 2020 22:25:15.633976000 AEST","-54","12","86.6667"
"333","Jul  2, 2020 22:25:17.643499000 AEST","-57","12","86.6667"
"334","Jul  2, 2020 22:25:18.648078000 AEST","-56","12","86.6667"
"335","Jul  2, 2020 22:25:18.872391000 AEST","-56","12","86.6667"
"336","Jul  2, 2020 22:25:19.076422000 AEST","-54","12","86.6667"
"337","Jul  2, 2020 22:25:19.077232000 AEST","-54","12","86.6667"
"338","Jul  2, 2020 22:25:19.077808000 AEST","-54","12","86.6667"
"339","Jul  2, 2020 22:25:19.651314000 AEST","-59","12","86.6667"
"340","Jul  2, 2020 22:25:20.656870000 AEST","-56","12","86.6667"
"341","Jul  2, 2020 22:25:21.658564000 AEST","-60","12","86.6667"
"342","Jul  2, 2020 22:25:22.661534000 AEST","-62","12","86.6667"
"343","Jul  2, 2020 22:25:23.665881000 AEST","-53","12","86.6667"
"344","Jul  2, 2020 22:25:24.669992000 AEST","-53","12","86.6667"
"345","Jul  2, 2020 22:25:33.127252000 AEST","-39","12","86.6667"
"346","Jul  2, 2020 22:25:34.581999000 AEST","-32","12","86.6667"
"347","Jul  2, 2020 22:25:36.110324000 AEST","-25","12","86.6667"
"348","Jul  2, 2020 22:25:36.227315000 AEST","-25","12","86.6667"
"349","Jul  2, 2020 22:25:38.205446000 AEST","-24","12","86.6667"
