"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Noise level (dBm)","Signal/noise ratio (dB)","Info"
"2079","37.542991","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2537, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2081","37.850191","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2538, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2119","38.157302","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-85dBm","10dB","Beacon frame, SN=2539, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2376","38.464608","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-85dBm","10dB","Beacon frame, SN=2540, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2402","38.771820","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-85dBm","10dB","Beacon frame, SN=2541, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2426","39.078925","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-85dBm","11dB","Beacon frame, SN=2542, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2431","39.386229","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-85dBm","11dB","Beacon frame, SN=2543, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2456","39.693414","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-85dBm","11dB","Beacon frame, SN=2544, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2547","40.000531","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-85dBm","10dB","Beacon frame, SN=2545, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2560","40.307823","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-86dBm","11dB","Beacon frame, SN=2546, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2579","40.614936","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-86dBm","11dB","Beacon frame, SN=2547, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2602","40.922142","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-86dBm","11dB","Beacon frame, SN=2548, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2620","41.229335","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2549, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2622","41.536628","46:b3:2c:81:00:f3","Broadcast","802.11","244","-74dBm","-86dBm","12dB","Beacon frame, SN=2550, FN=0, Flags=........C, BI=300, SSID=COMP4336"
"2625","41.843837","46:b3:2c:81:00:f3","Broadcast","802.11","244","-75dBm","-86dBm","11dB","Beacon frame, SN=2551, FN=0, Flags=........C, BI=300, SSID=COMP4336"
